"Name"	"File Extension"	"File Type"	"Is Deleted"	"Last Accessed"	"File Created"	"Last Modified"	"Size"	"Address"	"Hash Value"	"Known Status"	"Permissions"	"Full Path"
"$Volume"	""	"r"	""	"2009-11-20 22:38:09 PKT"	"2009-11-20 22:38:09 PKT"	"2009-11-20 22:38:09 PKT"	"0"	"3"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"rr-xr-xr-x"	"/img_evidence.E01/vol_vol2/$Volume"
"01.zip"	".zip"	"r"	""	"2009-11-25 02:47:38 PKT"	"2009-11-25 02:47:38 PKT"	"2009-11-25 02:21:16 PKT"	"108438"	"39"	"4fa239c22e5fb7b934a1bf68e4e0e2e7"	"unknown"	"rrwxrwxrwx"	"/img_evidence.E01/vol_vol2/01.zip"
"01.zip-slack"	".zip-slack"	"r"	""	"2009-11-25 02:47:38 PKT"	"2009-11-25 02:47:38 PKT"	"2009-11-25 02:21:16 PKT"	"2154"	"39"	"null"	"unknown"	"rrwxrwxrwx"	"/img_evidence.E01/vol_vol2/01.zip-slack"
"astronaut.jpg"	".jpg"	"r"	""	"2009-12-11 03:26:04 PKT"	"2009-11-25 02:40:19 PKT"	"2009-11-25 02:33:33 PKT"	"713418"	"37"	"40b386b30ed026c60ec1ac72e87360a3"	"unknown"	"rrwxrwxrwx"	"/img_evidence.E01/vol_vol2/astronaut.jpg"
"astronaut.jpg-slack"	".jpg-slack"	"r"	""	"2009-12-11 03:26:04 PKT"	"2009-11-25 02:40:19 PKT"	"2009-11-25 02:33:33 PKT"	"3382"	"37"	"null"	"unknown"	"rrwxrwxrwx"	"/img_evidence.E01/vol_vol2/astronaut.jpg-slack"
"astronaut.jpg:Zone.Identifier"	".Identifier"	"r"	""	"2009-12-11 03:26:04 PKT"	"2009-11-25 02:40:19 PKT"	"2009-11-25 02:33:33 PKT"	"46"	"37"	"7dda7f64befdc8eef1f66698ea96422a"	"unknown"	"rrwxrwxrwx"	"/img_evidence.E01/vol_vol2/astronaut.jpg:Zone.Identifier"
"astronaut1.jpg"	".jpg"	"r"	""	"2009-12-11 03:26:04 PKT"	"2009-11-25 02:47:38 PKT"	"2009-11-25 02:43:42 PKT"	"722717"	"40"	"45eade24b3a89b21fed303310ccbdc54"	"unknown"	"rrwxrwxrwx"	"/img_evidence.E01/vol_vol2/astronaut1.jpg"
"astronaut1.jpg-slack"	".jpg-slack"	"r"	""	"2009-12-11 03:26:04 PKT"	"2009-11-25 02:47:38 PKT"	"2009-11-25 02:43:42 PKT"	"2275"	"40"	"null"	"unknown"	"rrwxrwxrwx"	"/img_evidence.E01/vol_vol2/astronaut1.jpg-slack"
"Charlie_2009-11-17_0845_Received.txt"	".txt"	"r"	""	"2009-12-04 02:20:26 PKT"	"2009-12-04 02:20:25 PKT"	"2009-12-04 02:20:26 PKT"	"593"	"53"	"81d79fcc48a5951c78a0c6efe0652873"	"unknown"	"rrwxrwxrwx"	"/img_evidence.E01/vol_vol2/Email/Charlie_2009-11-17_0845_Received.txt"
"Charlie_2009-11-17_0845_Received.txt-slack"	".txt-slack"	"r"	""	"2009-12-04 02:20:26 PKT"	"2009-12-04 02:20:25 PKT"	"2009-12-04 02:20:26 PKT"	"3503"	"53"	"null"	"unknown"	"rrwxrwxrwx"	"/img_evidence.E01/vol_vol2/Email/Charlie_2009-11-17_0845_Received.txt-slack"
"Charlie_2009-11-17_1030_Received.txt"	".txt"	"r"	""	"2009-12-04 02:20:57 PKT"	"2009-12-04 02:20:37 PKT"	"2009-12-04 02:20:37 PKT"	"1537"	"54"	"ccb319542cd8f125090fe7605c5bb873"	"unknown"	"rrwxrwxrwx"	"/img_evidence.E01/vol_vol2/Email/Charlie_2009-11-17_1030_Received.txt"
"Charlie_2009-11-17_1030_Received.txt-slack"	".txt-slack"	"r"	""	"2009-12-04 02:20:57 PKT"	"2009-12-04 02:20:37 PKT"	"2009-12-04 02:20:37 PKT"	"2559"	"54"	"null"	"unknown"	"rrwxrwxrwx"	"/img_evidence.E01/vol_vol2/Email/Charlie_2009-11-17_1030_Received.txt-slack"
"Charlie_2009-11-17_1033_Received.txt"	".txt"	"r"	""	"2009-12-05 02:47:41 PKT"	"2009-12-04 02:21:40 PKT"	"2009-12-04 02:21:40 PKT"	"650"	"58"	"ffef4f69f4103c88835db2937d5e0bd6"	"unknown"	"rrwxrwxrwx"	"/img_evidence.E01/vol_vol2/Email/Charlie_2009-11-17_1033_Received.txt"
"Charlie_2009-11-17_1033_Received.txt-slack"	".txt-slack"	"r"	""	"2009-12-05 02:47:41 PKT"	"2009-12-04 02:21:40 PKT"	"2009-12-04 02:21:40 PKT"	"3446"	"58"	"null"	"unknown"	"rrwxrwxrwx"	"/img_evidence.E01/vol_vol2/Email/Charlie_2009-11-17_1033_Received.txt-slack"
"Charlie_2009-11-17_1040_Received.txt"	".txt"	"r"	""	"2009-12-05 02:46:41 PKT"	"2009-12-04 02:21:22 PKT"	"2009-12-04 02:21:22 PKT"	"284"	"57"	"d5915b04a5b133fdaee72d5efa7fdb07"	"unknown"	"rrwxrwxrwx"	"/img_evidence.E01/vol_vol2/Email/Charlie_2009-11-17_1040_Received.txt"
